127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/jquery.js, HTTP/1.1, 200, 0.002573
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/css/calendar.css, HTTP/1.1, 200, 0.001955
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/calendar.js, HTTP/1.1, 200, 0.001769
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002091
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/web2py.js, HTTP/1.1, 200, 0.001377
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/share.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000500
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/images/background.jpg, HTTP/1.1, 200, 0.000793
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/images/gplus-32.png, HTTP/1.1, 200, 0.000772
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/images/facebook.png, HTTP/1.1, 200, 0.000578
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/images/twitter.png, HTTP/1.1, 200, 0.001456
127.0.0.1, 2016-04-13 14:37:42, GET, /admin/default/site, HTTP/1.1, 200, 0.081482
127.0.0.1, 2016-04-13 14:37:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2016-04-13 14:56:12, GET, /, HTTP/1.1, 303, 0.062397
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.380362
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000829
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.012859
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.012075
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.010116
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.010941
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.010801
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000711
127.0.0.1, 2016-04-13 14:56:12, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2016-04-13 14:56:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2016-04-13 14:56:13, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000413
127.0.0.1, 2016-04-13 14:56:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000886
127.0.0.1, 2016-04-13 14:56:13, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001308
127.0.0.1, 2016-04-13 14:56:13, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001083
127.0.0.1, 2016-04-13 14:56:13, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000876
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/default/index, HTTP/1.1, 303, 0.188942
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/default/site, HTTP/1.1, 200, 0.130471
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/js/jquery.js, HTTP/1.1, 200, 0.001927
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/css/calendar.css, HTTP/1.1, 200, 0.001504
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/js/web2py.js, HTTP/1.1, 200, 0.001463
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/js/calendar.js, HTTP/1.1, 200, 0.001171
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000682
